#X,V0_V,dV0dT_V_K
0.3440433,3.43182210631437,-3.26429927823935e-05
0.3460434,3.43180426863934,-3.28498636047396e-05
0.3480436,3.43178643637445,-3.30372496001312e-05
0.3500437,3.43176860410956,-3.32246355955229e-05
0.3520438,3.43175077184468,-3.34120215909146e-05
0.354044,3.43173293957979,-3.35994075863062e-05
0.3560441,3.4317151073149,-3.37867935816978e-05
0.3580443,3.43169731214892,-3.39438122669956e-05
0.3600444,3.431679456979,-3.40627940826536e-05
0.3620446,3.43166163271015,-3.4181672255615e-05
0.3640447,3.43164391208399,-3.43005504285764e-05
0.3660448,3.43162605691407,-3.44195322442344e-05
0.368045,3.43160823264522,-3.45384104171958e-05
0.3700451,3.43159037747529,-3.46573922328537e-05
0.3720453,3.43157255320644,-3.47762704058151e-05
0.3740454,3.43155469803652,-3.48952522214731e-05
0.3760456,3.43153687376767,-3.50141303944345e-05
0.3780457,3.43151901859775,-3.51331122100925e-05
0.3800458,3.43150128973718,-3.5241937041487e-05
0.382046,3.4314833951934,-3.52724079942774e-05
0.3840461,3.43146560429231,-3.53028789470679e-05
0.3860463,3.4314477406496,-3.53332462571618e-05
0.3880464,3.43142994974851,-3.53637172099522e-05
0.3900466,3.43141205520473,-3.53941881627427e-05
0.3920467,3.43139426430364,-3.54246591155331e-05
0.3940468,3.43137645614605,-3.54458022256326e-05
0.396047,3.43135862960224,-3.54458022256326e-05
0.3980471,3.43134080305843,-3.54458022256326e-05
0.4000473,3.43132297651462,-3.54458022256326e-05
0.4020474,3.43130514997081,-3.54458022256326e-05
0.4040476,3.43129105456408,-3.54458022256326e-05
0.4060477,3.43127747737083,-3.54458022256326e-05
0.4080478,3.43126399885579,-3.54319141042928e-05
0.410048,3.43125053646755,-3.54155385582353e-05
0.4120481,3.43123697043662,-3.53991630121779e-05
0.4140483,3.43122350804839,-3.53827874661204e-05
0.4160484,3.43121004566015,-3.53664119200629e-05
0.4180486,3.43119647962922,-3.53500363740055e-05
0.4200487,3.43118297077796,-3.53421595290665e-05
0.4220488,3.43116949722741,-3.53421595290665e-05
0.424049,3.43115602367686,-3.53421595290665e-05
0.4260491,3.43114244648361,-3.53421595290665e-05
0.4280493,3.43112897293305,-3.53421595290665e-05
0.4300494,3.4311154993825,-3.53421595290665e-05
0.4320496,3.43110192218925,-3.53421595290665e-05
0.4340497,3.43108844863869,-3.53421595290665e-05
0.4360498,3.43107497508814,-3.53421595290665e-05
0.43805,3.43106150153759,-3.53421595290665e-05
0.4400501,3.43104792434434,-3.53421595290665e-05
0.4420503,3.43103445079378,-3.53421595290665e-05
0.4440504,3.43102097724323,-3.53421595290665e-05
0.4460506,3.43100740004998,-3.53421595290665e-05
0.4480507,3.43099392649943,-3.53421595290665e-05
0.4500508,3.43098045294887,-3.53421595290665e-05
0.452051,3.43096687575562,-3.53421595290665e-05
0.4540511,3.43095340220507,-3.53421595290665e-05
0.4560513,3.43093992865452,-3.53421595290665e-05
0.4580514,3.43092645510396,-3.53421595290665e-05
0.4600516,3.43091287791071,-3.53421595290665e-05
0.4620517,3.43089940436016,-3.53421595290665e-05
0.4640518,3.4308859308096,-3.53421595290665e-05
0.466052,3.43087235361635,-3.53421595290665e-05
0.4680521,3.4308588800658,-3.53421595290665e-05
0.4700523,3.43084540651525,-3.53421595290665e-05
0.4720524,3.43083193296469,-3.53421595290665e-05
0.4740526,3.43081835577144,-3.53421595290665e-05
0.4760527,3.43080488222089,-3.53421595290665e-05
0.4780528,3.43079140867034,-3.53421595290665e-05
0.480053,3.43077782245499,-3.53428850279424e-05
0.4820531,3.43076431778053,-3.53596751447861e-05
0.4840533,3.43075081310608,-3.53764652616299e-05
0.4860534,3.43073730843162,-3.53932553784736e-05
0.4880536,3.43072380375717,-3.54100454953173e-05
0.4900537,3.43071029908271,-3.5426835612161e-05
0.4920538,3.43069679440826,-3.54436257290048e-05
0.494054,3.43068329379141,-3.54458022256326e-05
0.4960541,3.43066982024086,-3.54458022256326e-05
0.4980543,3.43065634669031,-3.54458022256326e-05
0.5000544,3.43064287313975,-3.54458022256326e-05
0.5020546,3.4306292959465,-3.54458022256326e-05
0.5040547,3.43061582239595,-3.54458022256326e-05
0.5060549,3.43060234884539,-3.54458022256326e-05
0.508055,3.43058877165214,-3.54458022256326e-05
0.5100551,3.43057529810159,-3.54458022256326e-05
0.5120553,3.43056182455104,-3.54458022256326e-05
0.5140554,3.43054824735779,-3.54458022256326e-05
0.5160556,3.43053477380723,-3.54458022256326e-05
0.5180557,3.43052130025668,-3.54458022256326e-05
0.5200559,3.43050775261196,-3.54505697896747e-05
0.522056,3.43049431740921,-3.54712983289879e-05
0.5240561,3.43048074766268,-3.54921305109977e-05
0.5260563,3.43046728155886,-3.55129626930075e-05
0.5280564,3.43045374271341,-3.55336912323208e-05
0.5300566,3.43044026431756,-3.55590836929795e-05
0.5320567,3.43042675998512,-3.55984679176746e-05
0.5340569,3.43041322475162,-3.56379557850663e-05
0.536057,3.43039979316081,-3.56774436524581e-05
0.5380571,3.43038628882837,-3.57168278771532e-05
0.5400573,3.43037275359487,-3.57563157445449e-05
0.5420574,3.43035920754107,-3.58347732658455e-05
0.5440576,3.43034574516838,-3.59136453579324e-05
0.5460577,3.43033225189462,-3.59926210927158e-05
0.5480579,3.43031868587924,-3.60714931848026e-05
0.550058,3.43030522350655,-3.61503652768895e-05
0.5520581,3.4302917342904,-3.62147273914571e-05
0.5540583,3.4302782354873,-3.62739073711964e-05
0.5560584,3.43026473668421,-3.63330873509357e-05
0.5580586,3.43025123788111,-3.6392267330675e-05
0.5600587,3.43023773907801,-3.64514473104143e-05
0.5620589,3.43022418208472,-3.65295939036252e-05
0.564059,3.4302106943403,-3.66283653934527e-05
0.5660591,3.43019723749695,-3.67270332405837e-05
0.5680593,3.43018364610984,-3.68258047304113e-05
0.5700594,3.43017018926648,-3.69244725775423e-05
0.5720596,3.43015672013111,-3.70277007033222e-05
0.5740597,3.43014319607547,-3.71460606628008e-05
0.5760599,3.43012967201983,-3.72644206222794e-05
0.57806,3.43011614796419,-3.73827805817579e-05
0.5800601,3.43010262390855,-3.75011405412365e-05
0.5820603,3.43008913075398,-3.76193968580185e-05
0.5840604,3.43007568710953,-3.77420061680563e-05
0.5860606,3.43006213982238,-3.78646154780941e-05
0.5880607,3.43004866527685,-3.79873284308284e-05
0.5900609,3.43003387427735,-3.81099377408662e-05
0.592061,3.43001780866441,-3.82326506936006e-05
0.5940611,3.43000177395254,-3.83552600036384e-05
0.5960613,3.4299857083396,-3.84779729563727e-05
0.5980614,3.42996971106866,-3.8592809064168e-05
0.6000616,3.42995359616844,-3.86944825494995e-05
0.6020617,3.42993758491091,-3.87961560348309e-05
0.6040619,3.42992157365339,-3.88978295201623e-05
0.606062,3.42990553149479,-3.89996066481903e-05
0.6080621,3.42988941659457,-3.91012801335217e-05
0.6100623,3.42987340533704,-3.92029536188531e-05
0.6120624,3.42985739407952,-3.93046271041845e-05
0.6140626,3.4298413114329,-3.94013257400808e-05
0.6160627,3.4298253616355,-3.94801978321677e-05
0.6180629,3.42980927729432,-3.95591735669511e-05
0.620063,3.42979322385422,-3.96380456590379e-05
0.6220631,3.42977717041412,-3.97169177511248e-05
0.6240633,3.42976111697401,-3.97957898432117e-05
0.6260634,3.42974507808535,-3.98937321914667e-05
0.6280636,3.42972906107565,-3.99922963959011e-05
0.6300637,3.42971301316489,-4.00909642430322e-05
0.6320639,3.42969699615519,-4.01895284474666e-05
0.634064,3.42968094824443,-4.02881962945976e-05
0.6360641,3.42966487439708,-4.0400855905765e-05
0.6380643,3.42964883201565,-4.05193195079401e-05
0.6400644,3.42963278963422,-4.06377831101153e-05
0.6420646,3.42961674725279,-4.07562467122904e-05
0.6440647,3.42960070487137,-4.08747103144656e-05
0.6460649,3.42958469970803,-4.10020871885454e-05
0.648065,3.42956872465808,-4.11401392603715e-05
0.6500651,3.42955261506437,-4.12782949748943e-05
0.6520653,3.42953664001442,-4.14163470467204e-05
0.6540654,3.42952056132177,-4.15543991185466e-05
0.6560656,3.42950454330156,-4.1680428637571e-05
0.6580657,3.42948848986146,-4.17593007296579e-05
0.6600659,3.42947243642135,-4.18381728217448e-05
0.662066,3.42945635208018,-4.19171485565282e-05
