*X,dH_J_mol,dS_J_mol_K
0.3275482,-15984.87,17.76004
0.3284974,-15991.37,17.73825
0.3294466,-15997.86,17.71646
0.3303958,-16004.36,17.69467
0.3313450,-16010.86,17.67288
0.3322942,-16017.35,17.65109
0.3332434,-16023.85,17.62930
0.3341926,-16030.34,17.60751
0.3351418,-16037.03,17.58511
0.3360910,-16043.80,17.56237
0.3370402,-16050.58,17.53963
0.3379894,-16057.36,17.51690
0.3389386,-16064.14,17.49416
0.3398878,-16070.92,17.47143
0.3408370,-16077.70,17.44869
0.3417862,-16084.48,17.42595
0.3427354,-16091.26,17.40322
0.3436846,-16098.03,17.38048
0.3446339,-16104.76,17.35793
0.3455831,-16110.97,17.33709
0.3465323,-16117.18,17.31625
0.3474815,-16123.40,17.29541
0.3484307,-16129.61,17.27457
0.3493799,-16135.83,17.25373
0.3503291,-16142.04,17.23288
0.3512783,-16148.25,17.21204
0.3522275,-16154.47,17.19120
0.3531767,-16160.68,17.17036
0.3541259,-16166.90,17.14952
0.3550751,-16162.04,17.12765
0.3560243,-16157.05,17.10491
0.3569735,-16152.06,17.08218
0.3579227,-16147.07,17.05944
0.3588719,-16142.08,17.03670
0.3598211,-16137.09,17.01397
0.3607703,-16132.10,16.99123
0.3617195,-16127.11,16.96850
0.3626687,-16122.12,16.94576
0.3636179,-16117.14,16.92302
0.3645671,-16112.15,16.90029
0.3655163,-16107.44,16.87662
0.3664655,-16102.73,16.85293
0.3674147,-16098.02,16.82925
0.3683639,-16093.32,16.80557
0.3693131,-16094.98,16.78188
0.3702623,-16100.86,16.75820
0.3712115,-16106.74,16.73452
0.3721607,-16112.62,16.71083
0.3731099,-16118.50,16.68715
0.3740591,-16124.39,16.66346
0.3750083,-16130.39,16.63937
0.3759575,-16136.55,16.61474
0.3769068,-16142.71,16.59011
0.3778560,-16148.88,16.56548
0.3788052,-16155.04,16.54085
0.3797544,-16161.20,16.51622
0.3807036,-16167.37,16.49159
0.3816528,-16173.53,16.46696
0.3826020,-16179.69,16.44233
0.3835512,-16186.14,16.41770
0.3845004,-16193.48,16.39307
0.3854496,-16201.32,16.36678
0.3863988,-16209.23,16.34025
0.3873480,-16217.13,16.31372
0.3882972,-16225.04,16.28720
0.3892464,-16232.95,16.26067
0.3901956,-16240.86,16.23415
0.3911448,-16248.77,16.20762
0.3920940,-16256.68,16.18110
0.3930432,-16264.59,16.15457
0.3939924,-16272.49,16.12805
0.3949416,-16280.58,16.10092
0.3958908,-16289.06,16.07250
0.3968400,-16297.53,16.04408
0.3977892,-16306.00,16.01566
0.3987384,-16309.86,15.98724
0.3996876,-16313.04,15.95882
0.4006368,-16316.22,15.93040
0.4015860,-16319.40,15.90197
0.4025352,-16322.58,15.87355
0.4034844,-16325.76,15.84513
0.4044336,-16328.94,15.81671
0.4053828,-16334.49,15.78034
0.4063320,-16340.78,15.74150
0.4072812,-16347.07,15.70265
0.4082304,-16353.35,15.66381
0.4091797,-16359.64,15.62497
0.4101289,-16365.93,15.58613
0.4110781,-16372.21,15.54729
0.4120273,-16378.50,15.50845
0.4129765,-16383.59,15.46961
0.4139257,-16387.52,15.43077
0.4148749,-16391.97,15.39016
0.4158241,-16398.44,15.34279
0.4167733,-16404.91,15.29542
0.4177225,-16411.37,15.24806
0.4186717,-16417.84,15.20069
0.4196209,-16424.31,15.15332
0.4205701,-16430.78,15.10595
0.4215193,-16437.24,15.05859
0.4224685,-16443.71,15.01122
0.4234177,-16450.18,14.96385
0.4243669,-16456.65,14.91649
0.4253161,-16462.19,14.87221
0.4262653,-16467.25,14.82958
0.4272145,-16473.39,14.78695
0.4281637,-16486.10,14.74432
0.4291129,-16498.81,14.70169
0.4300621,-16511.52,14.65906
0.4310113,-16524.23,14.61643
0.4319605,-16536.94,14.57380
0.4329097,-16549.65,14.53117
0.4338589,-16562.36,14.48854
0.4348081,-16574.58,14.44754
0.4357573,-16582.21,14.42197
0.4367065,-16589.84,14.39639
0.4376557,-16597.46,14.37081
0.4386049,-16605.09,14.34523
0.4395541,-16612.71,14.31965
0.4405033,-16620.34,14.29408
0.4414526,-16627.97,14.26850
0.4424018,-16632.39,14.24292
0.4433510,-16635.90,14.21734
0.4443002,-16639.41,14.19176
0.4452494,-16641.08,14.17233
0.4461986,-16641.20,14.15812
0.4471478,-16641.32,14.14391
0.4480970,-16641.43,14.12970
0.4490462,-16641.55,14.11548
0.4499954,-16641.67,14.10127
0.4509446,-16641.79,14.08706
0.4518938,-16641.90,14.07285
0.4528430,-16642.02,14.05864
0.4537922,-16642.14,14.04443
0.4547414,-16642.26,14.03022
0.4556906,-16637.37,14.03280
0.4566398,-16626.83,14.03564
0.4575890,-16608.32,14.03848
